poem_line,cluster_label,tsne_dim1,tsne_dim2
叹凤嗟身否,7,-13.128676,-41.160114
伤麟怨道穷,7,-16.199284,31.526073
乘时方在德,4,29.60713,16.719719
嗟尔勒铭才,7,-14.348041,-42.87479
夷夏虽有殊,18,7.31563,19.33033
气味终不改,12,31.927307,43.555576
隐者自怡悦,8,46.37108,-13.141903
愁因薄暮起,5,-32.930447,-0.2110524
兴是清秋发,16,37.03214,-4.260709
何当载酒来,16,14.797168,-17.198324
共醉重阳节,2,51.532635,-4.5853977
忆与君别时,3,-23.024239,-13.209614
归来恨如失,7,-24.353237,-3.8851833
襄阳美会稽,14,27.793915,-11.75651
最高唯望楚,16,12.980522,-0.6191122
晴明试登陟,14,43.017857,-6.8273234
暝还归骑下,16,-50.92463,-25.630058
恨无知音赏,3,-24.221628,-4.707386
感此怀故人,17,-1.6033622,-26.42352
中宵劳梦想,16,5.1208377,-12.232452
余亦乘舟归鹿门,8,47.800762,-19.149374
唯有幽人自来去,8,38.359463,-28.508512
水清心亦闲,8,43.315083,-23.209867
求之不可得,7,-21.699394,-21.938576
沿月掉歌还,16,15.615439,-9.726265
孤琴候萝径,9,37.71253,-29.017397
余意在山水,8,43.63023,-19.664736
闻之谐夙心,14,24.287418,-5.80952
待到重阳日,16,20.17541,-17.832088
还来就菊花,8,50.779247,-14.064134
北阙休上书,7,-13.25697,28.629572
南山归弊庐,8,48.23891,-18.733614
不才明主弃,7,-13.923746,30.84252
多病故人疏,6,-30.10063,10.397325
永怀愁不寐,5,-33.592976,-0.9632783
乡泪客中尽,17,-5.9213786,-20.758614
迷津欲有问,19,0.5557134,-4.7586203
山暝听猿愁,5,-34.961018,-4.6179
建德非吾土,17,-9.146652,-21.385508
还将两行泪,11,-60.19021,-2.4510052
荣期乐自多,2,48.159054,-9.314393
读罢泪沾巾,11,-60.12049,0.38708568
衡门犹未掩,8,29.333454,7.690573
伫立待夫君,0,5.4640517,-25.21531
欲济无舟楫,7,-16.170818,24.795986
